PARP4	MVP
EED	HDAC2
DISC1	FEZ1
MCL1	BOK
RHOQ	GOPC
RHOQ	EXOC7
PBLD	STRAP
PINX1	MCRS1
CSPG5	GOPC
ASIC3	GOPC
IPO13	PAX6
PLCB1	TRPM7
OSTM1	RGS17
OSTM1	RGS20
ORC6	CDC7
AP4E1	AP4B1
CENPK	SOX6
LSM1	VPS11
LSM1	N4BP1
LSM1	LSM2
LSM2	LSM8
LSM2	LSM3
LSM2	LSM7
LSM3	LSM7
LSM3	XRN2
LSM3	LSM10
LSM4	XRN1
LSM6	MCRS1
LSM8	KCTD3
LSM8	DCP1A
HSPB8	HSPB1
RARA	NRBF2
MECR	RARA
TRIB3	ATF4
NPAS4	ARNT2
THRB	NCOA2
NRBF2	THRB
GFI1	PIAS3
TGS1	EED
LOXL1	FBLN5
RNF11	EPS15
KCNG2	KCNB1
PER1	CRY1
PER2	CRY1
THAP1	PAWR
HSF1	SYMPK
DTNB	KIF5A
MCM4	CDC7
CCNE1	CUL3
ARF3	GGA2
MPP6	SNX9
MPP6	AATF
COPG1	COPZ1
COPG1	COPZ2
EXOC8	EXOC2
ASIC3	LIN7B
DXO	XRN2
ZHX1	ZHX3
ARPC5	ARPC4
MYPN	NEBL
ARL6	ATL2
EVL	DNMBP
TAF13	TAF10
CDK14	SEPT8
TLK1	ASF1A
TLK1	ASF1B
CDHR2	MAST2
RNF5	FHOD1
STK19	PRAME
NELFE	NELFB
NELFE	NCOR1
CLIC1	LSM1
TRAF2	CDCA3
MCM10	CEP70
DVL3	CCNK
DCTD	LNX1
RBM10	PTBP2
ZBED1	SPEF1
CBS	VTA1
HGS	EXOC7
ATF4	GPS2
RBPMS	STRBP
RBPMS	DTX2
DTNB	TSACC
FXR2	RTN3
AP1M1	TIFA
LDOC1	LNX1
CPSF6	GIN1
MDFI	AP5Z1
MDFI	FZD9
CUTC	LNX1
RBPMS	LZTS2
NUP62	NUP54
PHC2	FHL3
PIAS2	NAV2
FOXS1	RBPMS
NFIC	LLPH
STX8	VTI1B
FXR2	KCTD4
THAP1	RALYL
FXR2	RBPMS
TOP3B	CHIC2
CTBP2	BAZ2B
PDCD6	HEBP2
PIN1	TRAF2
NINL	SPERT
DVL2	POLI
KAT7	CEP70
EMC2	EMC8
AP1M1	FXR2
BSCL2	SMIM3
DTNB	NUP62
ACY1	TTC1
STX8	CREB3
LMO3	RALYL
BTG1	CNOT8
SRPK2	U2AF2
RFX3	TRAF2
