MATR3	TNK1	1
LRRK1	ASAP1	1
AVIL	MYO5A	1
AQP2	STX8	1
AMPH	CDK5	1
SMAD4	FHL2	1
MBP	PTPRA	1
TCL1B	MAGI3	1
PTMA	KEAP1	1
NCK1	BCAR1	1
SOX2	PHC3	1
RAP1A	LIMA1	1
MEPCE	DDX23	1
RNF4	ACSL5	1
DDX27	SRP68	1
MTUS2	CDC73	1
ASGR2	RFT1	1
EPAS1	SSBP3	1
CREB5	EGLN3	1
CREB3	CHMP7	1
COQ9	HSDL1	1
ELP6	ZBTB2	1
DVL2	RSRC1	1
COQ9	MTCH2	1
RRAS	ZHX2	1
REV1	POLI	1
JUN	RBM39	1
GSK3A	RFX7	1
SMAD1	PARD3	1
GP1BB	ZACN	1
ATF2	JUND	1
LSM1	P3H1	1
FSHR	DAD1	1
SOCS2	BACH1	1
NTRK1	PATL1	1
CCND1	RBL2	1
CALM1	GID8	1
ZBED1	UCHL5	1
HMGCL	PEX5	1
SP1	REST	1
SCLT1	ACOT9	1
IRF3	SMC1A	1
UBXN1	WDR20	1
SNRPA	RBM3	1
NEBL	TRAF2	1
TANC2	KCTD3	1
RBM39	RRP7A	1
UBB	KCNS3	1
ATL2	P2RY8	1
HCN1	HCN4	1
NOD2	TACC3	1
RBL2	TFDP2	1
LAMP2	RFC1	1
NPHP4	STIP1	1
VAV2	THOP1	1
ATP4A	RAB5C	1
FXR1	PINX1	1
E2F3	TEAD3	1
ILK	NOC2L	1
NUP98	EP300	1
NOP14	FOXQ1	1
TPR	SUMO2	1
NDC80	AURKB	1
VPS36	VPS25	1
MPV17	MOV10	1
PALB2	PDS5B	1
FLNB	NUP50	1
HTRA2	BIRC6	1
AHSA1	TOP2A	1
INSR	INSRR	1
CRP	LAMA1	1
SF3A2	CHERP	1
IGF1R	VPS45	1
CDK18	RBM4	1
ILF2	CHD4	1
POC1A	AP4B1	1
ANK1	VAC14	1
CFTR	NRIP3	1
AP3D1	HERC2	1
RBBP7	PHF12	1
NR2C1	HDAC1	1
GRB2	ELMO2	1
DDX5	XRCC4	1
SRSF3	CUL4B	1
FAM9B	CDC23	1
UBC	OPTN	1
WDR1	BAG3	1
